"Sample"	"RAS_id"	"locus_tag"	"Mooring_full"	"Mooring"	"Year"	"Month_abb"	"Month"	"Latitude"	"Longitude"	"Clip_id"	"Depth"	"Temperature"	"Salinity"	"Sig"	"O2_concentration"	"O2_saturation"	"Chlorophyll_a_sensor"	"pH"	"AW_proportion"	"PW_proportion"	"Date"	"Daylight"	"NO3_NO2"	"PO4"	"NO2"	"SiO4"	"Ice_cover"	"Ice_edge_distance"	"Ice_cover_past"	"Ice_edge_distance_past"	"Mooring_position"	"Ice_cover_category"	"Ice_cover_past_category"	"Mooring_name"
"25"	"RAS_EGC_06_1819_2"	"06_2019_EGC_2"	"16S"	"EGC-5"	"EGC"	"2018-19"	"Jun"	"19-Jun"	79	-5.4	"16S_FRAM_4043_clip"	72	-1.2	34.24	27.54	316.77	85.29	0.52	NA	0.07	0.93	"6/21/2019"	24	NA	NA	NA	NA	98.34	-109.61	89.47	-40.95	"core-EGC"	"high"	"high"	"core-EGC_2018-19"
"26"	"RAS_EGC_07_1819_1"	"07_2019_EGC_1"	"16S"	"EGC-5"	"EGC"	"2018-19"	"Jul"	"19-Jul"	79	-5.4	"16S_FRAM_4044_clip"	71.96	-1.32	34.14	27.47	315.95	84.74	0.14	NA	0	1	"7/3/2019"	24	NA	NA	NA	NA	91.29	-60.79	90.11	-61.05	"core-EGC"	"high"	"high"	"core-EGC_2018-19"
"27"	"RAS_EGC_08_1819_3"	"08_2019_EGC_1"	"16S"	"EGC-5"	"EGC"	"2019-20"	"Aug"	"19-Aug"	79	-5.4	"16S_FRAM_4048_clip"	72	0.13	34.43	27.64	293.4	81.94	0.06	NA	0.28	0.72	"8/8/2019"	24	NA	NA	NA	NA	60.73	-19.93	71.19	-30.76	"core-EGC"	"medium"	"high"	"core-EGC_2019-20"
"28"	"RAS_EGC_07_1617_1"	"07_2016_EGC_1"	"16S"	"EGC-3"	"EGC"	"2016-17"	"Jul"	"16-Jul"	78.83	-2.79	"3335_EGC-3_1plus2_clip"	80.16	3.44	35.01	27.85	296.24	90.33	NA	NA	0.91	0.09	"7/10/2016"	24	11.31	0.76	0.05	4.47	0	18.89	21.99	39.89	"MIZ"	"low"	"low"	"MIZ_2016-17"
"29"	"RAS_EGC_07_1617_2"	"07_2016_EGC_2"	"16S"	"EGC-3"	"EGC"	"2016-17"	"Jul"	"16-Jul"	78.83	-2.79	"3336_EGC-3_3plus4_clip"	83.15	3.52	35.01	27.84	295.5	90.25	NA	NA	0.9	0.1	"7/26/2016"	24	NA	NA	NA	NA	12.69	8.51	3.5	17.12	"MIZ"	"low"	"low"	"MIZ_2016-17"
"30"	"RAS_EGC_08_1617_1"	"08_2016_EGC_1"	"16S"	"EGC-3"	"EGC"	"2016-17"	"Aug"	"16-Aug"	78.83	-2.79	"3337_EGC-3_5plus6_clip"	79.79	3.25	34.95	27.83	290.62	88.15	NA	NA	0.84	0.16	"8/11/2016"	24	10.95	0.74	0.05	4.34	3.17	14.77	21.45	2.42	"MIZ"	"low"	"low"	"MIZ_2016-17"
"31"	"RAS_EGC_08_1617_2"	"08_2016_EGC_2"	"16S"	"EGC-3"	"EGC"	"2016-17"	"Aug"	"16-Aug"	78.83	-2.79	"3338_EGC-3_7plus8_clip"	81.13	4.36	35.09	27.82	291.12	90.8	NA	NA	0.99	0.01	"8/27/2016"	20.77	12.84	0.81	0	4.44	7.51	10.68	5.45	16.46	"MIZ"	"low"	"low"	"MIZ_2016-17"
"32"	"RAS_EGC_09_1617_1"	"09_2016_EGC_1"	"16S"	"EGC-3"	"EGC"	"2016-17"	"Sep"	"16-Sep"	78.83	-2.79	"3339_EGC-3_9plus10_clip"	81.14	0.08	34.47	27.67	306.14	85.43	NA	NA	0.32	0.68	"9/12/2016"	15	NA	NA	NA	NA	18.13	3.85	55.37	-10.3	"MIZ"	"low"	"medium"	"MIZ_2016-17"
"33"	"RAS_EGC_09_1617_2"	"09_2016_EGC_2"	"16S"	"EGC-3"	"EGC"	"2016-17"	"Sep"	"16-Sep"	78.83	-2.79	"3340_EGC-3_11plus12_clip"	87.05	-0.44	34.38	27.63	314.27	86.43	NA	NA	0.22	0.78	"9/28/2016"	10.72	NA	NA	NA	NA	71.21	-11.6	29.29	2.23	"MIZ"	"high"	"low"	"MIZ_2016-17"
"34"	"RAS_EGC_10_1617_1"	"10_2016_EGC_1"	"16S"	"EGC-3"	"EGC"	"2016-17"	"Oct"	"16-Oct"	78.83	-2.79	"3341_EGC-3_13plus14_clip"	79.88	-1.83	34.21	27.54	348.5	92.24	NA	NA	0.06	0.94	"10/14/2016"	5.91	5.05	0.44	0	2.31	98.28	-41.46	80.38	-27.49	"MIZ"	"high"	"high"	"MIZ_2016-17"
"35"	"RAS_EGC_10_1617_2"	"10_2016_EGC_2"	"16S"	"EGC-3"	"EGC"	"2016-17"	"Oct"	"16-Oct"	78.83	-2.79	"3342_EGC-3_15plus16_clip"	87.56	3.9	34.93	27.74	294.6	90.76	NA	NA	0.8	0.2	"10/30/2016"	0	NA	NA	NA	NA	13.88	10.36	84.02	-26.28	"MIZ"	"low"	"high"	"MIZ_2016-17"
"36"	"RAS_EGC_11_1617"	"11_2016_EGC"	"16S"	"EGC-3"	"EGC"	"2016-17"	"Nov"	"16-Nov"	78.83	-2.79	"3343_EGC-3_17plus18_clip"	80.02	1.5	34.61	27.7	306.34	88.73	NA	NA	0.47	0.53	"11/15/2016"	0	NA	0.56	0	2.93	38.32	-2.33	47.91	-8.5	"MIZ"	"low"	"medium"	"MIZ_2016-17"
"37"	"RAS_EGC_12_1617_1"	"12_2016_EGC_1"	"16S"	"EGC-3"	"EGC"	"2016-17"	"Dec"	"16-Dec"	78.83	-2.79	"3344_EGC-3_19plus20_clip"	89.74	-0.47	34.41	27.65	312.83	86	NA	NA	0.27	0.73	"12/1/2016"	0	7.45	0.56	0	3.58	70.72	-16.16	61.3	-7.96	"MIZ"	"high"	"medium"	"MIZ_2016-17"
"38"	"RAS_EGC_12_1617_2"	"12_2016_EGC_2"	"16S"	"EGC-3"	"EGC"	"2016-17"	"Dec"	"16-Dec"	78.83	-2.79	"3345_EGC-3_21plus22_clip"	83.61	3.37	34.83	27.71	302.81	92.04	NA	NA	0.69	0.31	"12/17/2016"	0	NA	NA	NA	NA	99.52	-30.63	56.69	-8.52	"MIZ"	"high"	"medium"	"MIZ_2016-17"
"39"	"RAS_EGC_01_1617_1"	"01_2017_EGC_1"	"16S"	"EGC-3"	"EGC"	"2016-17"	"Jan"	"17-Jan"	78.83	-2.79	"3346_EGC-3_23plus24_clip"	150.14	3.57	35.02	27.85	295.36	90.33	NA	NA	0.92	0.08	"1/2/2017"	0	13.14	0.81	0	5	0	23.94	35.84	5.12	"MIZ"	"low"	"low"	"MIZ_2016-17"
"40"	"RAS_EGC_01_1617_2"	"01_2017_EGC_2"	"16S"	"EGC-3"	"EGC"	"2016-17"	"Jan"	"17-Jan"	78.83	-2.79	"3347_EGC-3_25plus26_clip"	86.18	3.14	34.95	27.83	304.44	92.09	NA	NA	0.84	0.16	"1/18/2017"	0	11.72	0.74	0	4.23	89.61	-22.3	40.83	-2.86	"MIZ"	"high"	"medium"	"MIZ_2016-17"
"41"	"RAS_EGC_02_1617_1"	"02_2017_EGC_1"	"16S"	"EGC-3"	"EGC"	"2016-17"	"Feb"	"17-Feb"	78.83	-2.79	"3348_EGC-3_27plus28_clip"	108.64	-0.72	34.23	27.52	320.43	87.35	NA	NA	0.05	0.95	"2/3/2017"	0	7.8	0.59	0	4.19	84.38	-11.6	91.76	-25.66	"MIZ"	"high"	"high"	"MIZ_2016-17"
"42"	"RAS_EGC_02_1617_2"	"02_2017_EGC_2"	"16S"	"EGC-3"	"EGC"	"2016-17"	"Feb"	"17-Feb"	78.83	-2.79	"3349_EGC-3_29plus30_clip"	81.83	-1.72	33.75	27.16	347.38	91.89	NA	NA	0	1	"2/19/2017"	0	4.91	0.47	0	3.64	83.98	-48.39	86.81	-28.6	"MIZ"	"high"	"high"	"MIZ_2016-17"
"43"	"RAS_EGC_03_1617_1"	"03_2017_EGC_1"	"16S"	"EGC-3"	"EGC"	"2016-17"	"Mar"	"17-Mar"	78.83	-2.79	"3350_EGC-3_31plus32_clip"	80.02	-1.39	34.12	27.45	328.98	88.06	NA	NA	0	1	"3/7/2017"	7.75	6.5	0.55	0	4.48	94.03	-69.24	93.7	-36.3	"MIZ"	"high"	"high"	"MIZ_2016-17"
"44"	"RAS_EGC_03_1617_2"	"03_2017_EGC_2"	"16S"	"EGC-3"	"EGC"	"2016-17"	"Mar"	"17-Mar"	78.83	-2.79	"3351_EGC-3_33plus34_clip"	86.05	1.83	34.78	27.81	312.51	91.41	NA	NA	0.67	0.33	"3/23/2017"	12.24	11.83	0.74	0	4.52	90.86	-45.73	87.32	-41.14	"MIZ"	"high"	"high"	"MIZ_2016-17"
"45"	"RAS_EGC_04_1617_1"	"04_2017_EGC_1"	"16S"	"EGC-3"	"EGC"	"2016-17"	"Apr"	"17-Apr"	78.83	-2.79	"3352_EGC-3_35plus36_clip"	79.83	-0.3	34.35	27.59	318.28	87.83	NA	NA	0.18	0.82	"4/8/2017"	16.76	NA	NA	NA	NA	98.18	-37.35	94.5	-46.29	"MIZ"	"high"	"high"	"MIZ_2016-17"
"46"	"RAS_EGC_05_1617_1"	"05_2017_EGC_1"	"16S"	"EGC-3"	"EGC"	"2016-17"	"May"	"17-May"	78.83	-2.79	"3354_EGC-3_39plus40_clip"	80.99	3.16	35.02	27.89	307.14	93.01	NA	NA	0.93	0.07	"5/10/2017"	24	12.2	0.75	0.01	4.61	95.04	-29.22	86.85	-36.33	"MIZ"	"high"	"high"	"MIZ_2016-17"
"47"	"RAS_EGC_05_1617_2"	"05_2017_EGC_2"	"16S"	"EGC-3"	"EGC"	"2016-17"	"May"	"17-May"	78.83	-2.79	"3355_EGC-3_41plus42_clip"	90.93	3.44	35.04	27.88	307.21	93.67	NA	NA	0.95	0.05	"5/26/2017"	24	12.03	0.77	0.02	4.54	70.63	-7.4	75.25	-19.65	"MIZ"	"high"	"high"	"MIZ_2016-17"
"48"	"RAS_EGC_06_1617_1"	"06_2017_EGC_1"	"16S"	"EGC-3"	"EGC"	"2016-17"	"Jun"	"17-Jun"	78.83	-2.79	"3356_EGC-3_43plus44_clip"	85.89	0.86	34.57	27.71	306.96	87.47	NA	NA	0.43	0.57	"6/11/2017"	24	10.7	0.75	0	5.69	99.79	-25.05	74.52	-23.38	"MIZ"	"high"	"high"	"MIZ_2016-17"
"49"	"RAS_EGC_06_1617_2"	"06_2017_EGC_2"	"16S"	"EGC-3"	"EGC"	"2016-17"	"Jun"	"17-Jun"	78.83	-2.79	"3357_EGC-3_45plus46_clip"	128.89	3.61	35.02	27.85	303.26	92.84	NA	NA	0.92	0.08	"6/27/2017"	24	12.09	0.76	0.01	4.41	51.93	-11.6	71.67	-22.55	"MIZ"	"medium"	"high"	"MIZ_2016-17"
"50"	"RAS_EGC_07_1617_3"	"07_2017_EGC_1"	"16S"	"EGC-3"	"EGC"	"2016-17"	"Jul"	"17-Jul"	78.83	-2.79	"3358_EGC-3_47plus48_clip"	78.65	3.66	35.04	27.85	303.07	92.91	NA	NA	0.94	0.06	"7/13/2017"	24	12.24	0.77	0.07	4.55	84.77	-37.15	55.45	-21.74	"MIZ"	"high"	"medium"	"MIZ_2016-17"
"51"	"RAS_EGC_12_1718_2"	"12_2017_EGC_2"	"16S"	"EGC-4"	"EGC"	"2017-18"	"Dec"	"17-Dec"	78.84	-2.81	"FRAM_3932_clip"	77.44	2.27	34.83	27.81	315.15	93.23	NA	NA	0.71	0.29	"12/27/2017"	0	NA	NA	NA	NA	0	44.62	25	9.33	"MIZ"	"low"	"low"	"MIZ_2017-18"
"52"	"RAS_EGC_04_1718_1"	"04_2018_EGC_1"	"16S"	"EGC-4"	"EGC"	"2017-18"	"Apr"	"18-Apr"	78.84	-2.81	"FRAM_3938_clip"	117.86	1.01	34.72	27.81	298.01	85.38	NA	NA	0.62	0.38	"4/2/2018"	14.97	NA	NA	NA	NA	33.64	-3.85	12.01	16.33	"MIZ"	"low"	"low"	"MIZ_2017-18"
"53"	"RAS_EGC_07_1718_1"	"07_2018_EGC_1"	"16S"	"EGC-4"	"EGC"	"2017-18"	"Jul"	"18-Jul"	78.84	-2.81	"FRAM_3944_clip"	75.74	-0.03	34.51	27.72	310.99	86.56	NA	NA	0.39	0.61	"7/7/2018"	24	NA	NA	NA	NA	40.21	-6.69	22.49	3.46	"MIZ"	"medium"	"low"	"MIZ_2017-18"
"54"	"RAS_EGC_07_1718_2"	"07_2018_EGC_2"	"16S"	"EGC-4"	"EGC"	"2017-18"	"Jul"	"18-Jul"	78.84	-2.81	"FRAM_3945_clip"	77.42	-0.41	34.24	27.51	308.24	84.75	NA	NA	0.06	0.94	"7/23/2018"	24	NA	NA	NA	NA	0	29.23	26.92	2.04	"MIZ"	"low"	"low"	"MIZ_2017-18"
"55"	"RAS_EGC_08_1819_1"	"08_2018_EGC_1"	"16S"	"EGC-5"	"EGC"	"2018-19"	"Aug"	"18-Aug"	79	-5.4	"FRAM_4024_clip"	72.38	-1.63	33.84	27.23	335.3	88.98	0.13	8.08	0	1	"8/5/2018"	24	NA	NA	NA	NA	7.28	11.78	1.01	26.21	"core-EGC"	"low"	"low"	"core-EGC_2018-19"
"56"	"RAS_EGC_08_1819_2"	"08_2018_EGC_2"	"16S"	"EGC-5"	"EGC"	"2018-19"	"Aug"	"18-Aug"	79	-5.4	"FRAM_4025_clip"	72.17	-1.43	33.86	27.24	318.36	84.94	0.1	8.06	0	1	"8/21/2018"	24	NA	NA	NA	NA	21.02	-2.79	22.73	3.97	"core-EGC"	"low"	"low"	"core-EGC_2018-19"
"57"	"RAS_EGC_11_1819"	"11_2018_EGC"	"16S"	"EGC-5"	"EGC"	"2018-19"	"Nov"	"18-Nov"	79	-5.4	"FRAM_4030_clip"	71.93	-1.22	33.85	27.23	300.27	80.58	0.08	8.02	0	1	"11/25/2018"	0	NA	NA	NA	NA	99.36	-68.74	98.79	-54.06	"core-EGC"	"high"	"high"	"core-EGC_2018-19"
"58"	"RAS_EGC_12_1819_2"	"12_2018_EGC_2"	"16S"	"EGC-5"	"EGC"	"2018-19"	"Dec"	"18-Dec"	79	-5.4	"FRAM_4032_clip"	73.08	-1.57	33.84	27.23	327.71	87.11	0.06	8.14	0	1	"12/27/2018"	0	NA	NA	NA	NA	99.7	-56.45	97.69	-52.28	"core-EGC"	"high"	"high"	"core-EGC_2018-19"
"59"	"RAS_EGC_01_1819_1"	"01_2019_EGC_1"	"16S"	"EGC-5"	"EGC"	"2018-19"	"Jan"	"19-Jan"	79	-5.4	"FRAM_4033_clip"	75.08	-1.8	33.43	26.91	345.93	91.08	0.06	8.14	0	1	"1/12/2019"	0	NA	NA	NA	NA	93.55	-48.75	96.8	-69.88	"core-EGC"	"high"	"high"	"core-EGC_2018-19"
"60"	"RAS_EGC_01_1819_2"	"01_2019_EGC_2"	"16S"	"EGC-5"	"EGC"	"2018-19"	"Jan"	"19-Jan"	79	-5.4	"FRAM_4034_clip"	72.86	-1.81	33.78	27.19	326.24	86.12	0.05	8.15	0	1	"1/28/2019"	0	NA	NA	NA	NA	99.82	-47.41	96.72	-48.97	"core-EGC"	"high"	"high"	"core-EGC_2018-19"
"61"	"RAS_EGC_02_1819_1"	"02_2019_EGC_1"	"16S"	"EGC-5"	"EGC"	"2018-19"	"Feb"	"19-Feb"	79	-5.4	"FRAM_4035_clip"	72.55	-1.81	33.5	26.96	339.15	89.32	0.07	8.1	0	1	"2/13/2019"	0	NA	NA	NA	NA	99.69	-62.34	97.27	-38.24	"core-EGC"	"high"	"high"	"core-EGC_2018-19"
"62"	"RAS_EGC_02_1819_2"	"02_2019_EGC_2"	"16S"	"EGC-5"	"EGC"	"2018-19"	"Feb"	"19-Feb"	79	-5.4	"FRAM_4036_clip"	71.93	-1.63	33.51	26.97	338.15	89.51	0.07	8.07	0	1	"3/1/2019"	5.57	NA	NA	NA	NA	92.83	-53.2	97.42	-77.28	"core-EGC"	"high"	"high"	"core-EGC_2018-19"
"63"	"RAS_EGC_03_1819_1"	"03_2019_EGC_1"	"16S"	"EGC-5"	"EGC"	"2018-19"	"Mar"	"19-Mar"	79	-5.4	"FRAM_4037_clip"	71.79	-1.81	33.4	26.88	354.24	93.22	0.07	8.1	0	1	"3/17/2019"	10.6	NA	NA	NA	NA	91.2	-79.55	92.52	-63.12	"core-EGC"	"high"	"high"	"core-EGC_2018-19"
"64"	"RAS_EGC_03_1819_2"	"03_2019_EGC_2"	"16S"	"EGC-5"	"EGC"	"2018-19"	"Mar"	"19-Mar"	79	-5.4	"FRAM_4038_clip"	71.52	-1.71	33.75	27.16	340.47	90.08	0.07	8.1	0	1	"4/2/2019"	15.02	NA	NA	NA	NA	88.6	-37.61	94.63	-54.94	"core-EGC"	"high"	"high"	"core-EGC_2018-19"
